Sedan Strict BEV Size by Sequence
=================================

Source:
  Official K-Radar revised Cartesian v2.1 annotations.
  Objects are matched to the Sedan annotations used by K-Radar-GT-Polar-v2.

Calculation:
  Full length = 2 * annotated half_length
  Full width  = 2 * annotated half_width
  Strict BEV area = full length * full width

Units:
  Length and width: metres (m)
  BEV area: square metres (m^2)

Identifiers:
  f = GT frame number
  o = object ID

| Seq | Sedan N | Average area (m^2) | Smallest: area; LxW; frame/object | Largest: area; LxW; frame/object |
| 24 | 2029 | 8.953 | 5.174; 3.200x1.617; f216/o115 | 10.735; 4.654x2.307; f442/o121 |
| 25 | 2021 | 8.778 | 5.977; 3.714x1.609; f461/o141 | 23.001; 10.278x2.238; f259/o115 |
| 26 | 620 | 9.106 | 5.462; 3.242x1.685; f350/o101 | 14.891; 5.046x2.951; f352/o103 |
| 27 | 32 | 9.361 | 9.162; 4.415x2.075; f106/o1 | 9.497; 4.132x2.298; f75/o0 |
| 28 | 0 | -- | -- | -- |
| 29 | 0 | -- | -- | -- |
| 30 | 809 | 9.397 | 6.075; 4.716x1.288; f25/o100 | 16.199; 6.570x2.465; f450/o106 |
| 31 | 128 | 11.569 | 11.400; 4.708x2.421; f430/o103 | 13.536; 5.507x2.458; f133/o101 |
| 32 | 96 | 9.221 | 5.849; 3.409x1.716; f368/o107 | 11.929; 5.405x2.207; f36/o102 |
| 33 | 252 | 10.792 | 8.959; 3.987x2.247; f419/o110 | 13.039; 5.289x2.465; f102/o104 |
| 34 | 269 | 11.192 | 3.563; 2.772x1.285; f101/o6 | 15.216; 5.118x2.973; f160/o11 |
| 35 | 0 | -- | -- | -- |
| 36 | 20 | 11.442 | 11.442; 4.696x2.437; f169/o2 | 11.442; 4.696x2.437; f190/o2 |
| 37 | 42 | 8.222 | 6.923; 3.846x1.800; f519/o3 | 8.879; 4.500x1.973; f531/o3 |
| 38 | 546 | 10.683 | 10.162; 4.641x2.189; f491/o0 | 12.602; 4.623x2.726; f448/o0 |
| 39 | 596 | 8.736 | 8.736; 4.545x1.922; f1/o0 | 8.736; 4.545x1.922; f597/o0 |
| 40 | 678 | 10.169 | 9.071; 4.809x1.886; f285/o0 | 11.069; 4.673x2.369; f598/o2 |
| 41 | 594 | 11.858 | 10.605; 4.762x2.227; f543/o0 | 15.340; 4.633x3.311; f330/o2 |
| 42 | 969 | 10.444 | 7.691; 4.640x1.658; f323/o102 | 12.825; 5.364x2.391; f144/o9 |
| 43 | 1332 | 10.711 | 6.842; 4.083x1.676; f1/o0 | 12.782; 4.755x2.688; f525/o8 |
| 44 | 676 | 8.058 | 7.297; 4.600x1.586; f1/o0 | 11.032; 4.729x2.333; f243/o3 |
| 45 | 1061 | 10.001 | 6.802; 3.547x1.918; f341/o9 | 11.158; 4.824x2.313; f73/o5 |
| 46 | 329 | 7.355 | 7.355; 3.941x1.866; f1/o0 | 7.355; 3.941x1.866; f393/o0 |
| 47 | 105 | 11.468 | 11.468; 4.758x2.410; f160/o102 | 11.468; 4.758x2.410; f266/o102 |
| 48 | 362 | 10.929 | 10.929; 4.712x2.319; f82/o102 | 10.929; 4.712x2.319; f443/o102 |
| 49 | 138 | 10.644 | 10.637; 4.775x2.228; f1/o103 | 10.769; 4.645x2.318; f598/o101 |
| 50 | 1077 | 8.661 | 5.511; 3.157x1.745; f29/o101 | 10.634; 4.603x2.310; f568/o103 |
| 51 | 260 | 10.803 | 10.575; 4.700x2.250; f195/o101 | 13.214; 4.723x2.798; f10/o100 |
| 52 | 438 | 10.802 | 9.560; 4.154x2.301; f528/o100 | 10.823; 4.703x2.301; f598/o100 |
| 53 | 590 | 10.334 | 9.680; 4.686x2.066; f136/o0 | 10.618; 4.686x2.266; f597/o0 |
| 54 | 952 | 10.572 | 9.746; 4.607x2.115; f153/o0 | 11.813; 4.605x2.565; f114/o1 |
| 55 | 732 | 10.514 | 9.078; 4.151x2.187; f478/o107 | 11.021; 4.748x2.321; f463/o101 |
| 56 | 518 | 10.166 | 9.577; 4.167x2.298; f19/o1 | 10.838; 4.471x2.424; f256/o0 |
| 57 | 144 | 10.926 | 10.658; 4.615x2.309; f312/o2 | 11.370; 4.747x2.395; f212/o1 |
| 58 | 328 | 10.643 | 10.643; 4.622x2.302; f5/o1 | 10.643; 4.622x2.302; f548/o1 |

Notes:
  Sequences 28, 29, and 35 contain no Sedan annotations.
  Seq20 minimum (0.502 m^2) and Seq25 maximum (23.001 m^2) are clear
  annotation outliers and should not be interpreted as normal Sedan dimensions.
